#        ID    YR  MO  DY  HR MN     SC      lon      lat    depth    MAG
201012124010  2010  12  12   3  37  18.00 -96.9920  35.4330     3.20    2.9    
201012124029  2010  12  12  14  39  56.00 -95.9570  34.6590     5.00    2.6    
201012144009  2010  12  14   6  37   7.00 -97.2340  35.6110     5.00    2.6    
201012144036  2010  12  14  17   1  50.00 -96.9820  35.4400     5.00    2.5    
201012194008  2010  12  19   5  30   5.00 -96.7720  35.8270     5.00    3.3    
201012204010  2010  12  20   5  50  21.00 -96.3710  34.6620     5.00    2.5    
201012204019  2010  12  20  11  15  14.00 -97.2460  35.5790     5.30    2.5    
201012204021  2010  12  20  11  20  50.00 -96.3910  34.6510     5.00    2.6    
201012214012  2010  12  21   4  37   5.00 -96.3860  34.6570     5.00    2.6    
201012214024  2010  12  21   6  45  48.00 -96.3480  34.6590     5.00    2.6    
201012214150  2010  12  21  22  31  21.00 -96.3840  34.6710     5.00    2.5    
201012244035  2010  12  24  10   7  49.00 -96.3610  34.6900     5.00    3.0    
201012254006  2010  12  25   2   5   4.00 -96.3400  34.6750     5.00    2.6    
201012284008  2010  12  28   1  24  49.00 -95.8930  34.6960     5.00    3.1    
201012294016  2010  12  29   4  20  47.00 -97.4400  34.6760     5.00    2.6    
201012314024  2010  12  31  11  17  52.00 -97.2470  35.5360     6.10    2.6    
201101014035  2011   1   1  18   1  52.00 -96.9160  35.8370     3.20    2.8    
201101034019  2011   1   3   7   9  35.00 -97.4080  34.6930     5.00    2.6    
201101044029  2011   1   4  18  36  31.00 -97.2370  35.5560     4.20    2.9    
201101064025  2011   1   6   6   3  52.00 -97.2770  35.5690     3.10    2.8    
201101074010  2011   1   7   5   9  11.00 -96.9830  35.4350     5.00    2.5    
201101084021  2011   1   8   8  40  43.00 -97.2490  35.6120     5.00    2.7    
201101104013  2011   1  10   5  50  35.00 -96.6710  34.7850     5.00    2.7    
201101114049  2011   1  11  22   3  41.00 -96.9160  35.8400     5.00    2.6    
201101124037  2011   1  12  12   4  19.00 -97.2250  35.5160     6.40    2.7    
201101124059  2011   1  12  21  39  12.00 -97.2220  35.5060     3.10    2.6    
201101154034  2011   1  15  10  30  51.00 -97.2220  35.5090     3.40    3.4    
201101184001  2011   1  18   0  22  14.00 -97.4330  34.5600     0.00    2.6    
201101184009  2011   1  18   3   6  40.00 -97.4300  34.5660     0.00    2.8    
